"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
0.547619047619048,1,3,0.715819613457409,3,0,2,2,2,1,0.914285714285714,3,2,8,4,3,0.26245392311743,0.698052599879542,8,2,11,3,1,0,0.2,0,1,0.15,4,0,0.294117647058824
0.738095238095238,0,2,0.126700071581961,2,0.25,1,2,3,2,0.442857142857143,2,2,7,2,2,0.217008952080042,0.916000803051596,1,1,23,4,4,1,0.25,3,3,0.25,7,0.0666666666666667,0.411764705882353
0.452380952380952,1,3,0.909806728704367,2,0.0357142857142857,2,5,4,2,0.885714285714286,2,1,3,3,3,0.0569246972090574,0.0121260791005822,6,2,15,3,2,0,0.175,3,3,0,0,0,0
0.357142857142857,0,2,0.923407301360057,2,0.0714285714285714,4,2,4,1,0.371428571428571,3,1,7,3,2,0.100052659294365,0.845814093555511,1,2,11,3,3,0,0.2,3,3,0.2,7,0.2,0
0.214285714285714,0,3,0.350035790980673,2,0.0357142857142857,1,4,1,2,0.142857142857143,3,1,3,2,2,0.129489204844655,0.583738205179683,9,1,12,3,4,1,0.15,3,3,0.05,2,0.133333333333333,0.117647058823529
0.976190476190476,0,3,0.874731567644954,2,0.0714285714285714,3,4,3,1,0.728571428571429,4,1,3,1,2,0.0874670879410216,0.316000803051596,4,2,20,4,1,3,0.3,3,2,0.025,0,0,0
0.285714285714286,0,3,0.899069434502505,2,0.821428571428571,1,2,4,2,0.528571428571429,3,1,3,3,1,0.0886782517114271,0.45135514956836,1,1,22,4,2,1,0.025,2,3,0.025,0,0,0
0.404761904761905,0,3,0.506084466714388,2,0.535714285714286,3,4,1,2,0.771428571428571,4,1,3,2,2,0.0746182201158505,0.577594860469785,0,1,13,3,3,1,0.15,5,3,0.125,4,0,0.176470588235294
0.261904761904762,0,3,0.0365068002863278,2,0.5,2,2,4,1,0.271428571428571,2,2,3,3,3,0.16766719325961,0.425135514956836,0,2,12,3,4,0,0.25,3,3,0.225,5,0,0.470588235294118
0.380952380952381,0,3,0.890479599141016,2,0.642857142857143,2,4,2,2,0.9,3,1,3,4,1,0.0869931542917325,0.267576791808874,0,1,11,3,3,1,0.075,2,3,0.05,2,0.0666666666666667,0.117647058823529
